Time[s], Channel 0, Channel 1, Channel 2
-0.100000000000000, 1, 1, 0
-0.000024020000000, 0, 1, 0
-0.000016020000000, 0, 0, 0
-0.000007000000000, 1, 0, 0
0.000000000000000, 1, 1, 0
0.000007980000000, 1, 0, 0
0.000008980000000, 0, 0, 0
0.000016000000000, 0, 1, 0
0.000023980000000, 0, 0, 0
0.000032000000000, 0, 1, 0
0.000039980000000, 0, 0, 0
0.000041000000000, 1, 0, 0
0.000048000000000, 1, 1, 0
0.000055980000000, 1, 0, 0
0.000056980000000, 0, 0, 0
0.000064000000000, 0, 1, 0
0.000071980000000, 0, 0, 0
0.000073000000000, 1, 0, 0
0.000080000000000, 1, 1, 0
0.000087980000000, 1, 0, 0
0.000096000000000, 1, 1, 0
0.000103980000000, 1, 0, 0
0.000104980000000, 0, 0, 0
0.000112000000000, 0, 1, 0
0.000119980000000, 0, 0, 0
0.000128000000000, 0, 1, 0
0.000135980000000, 0, 0, 0
0.000136160000000, 1, 0, 0
0.000136980000000, 0, 0, 0
0.000144000000000, 0, 1, 0
0.000151980000000, 0, 0, 0
0.000160000000000, 0, 1, 0
0.000167980000000, 0, 0, 0
0.000176000000000, 0, 1, 0
0.000183980000000, 0, 0, 0
0.000185000000000, 1, 0, 0
0.000192000000000, 1, 1, 0
0.000199980000000, 1, 0, 0
0.000200980000000, 0, 0, 0
0.000208000000000, 0, 1, 0
0.000215980000000, 0, 0, 0
0.000217000000000, 1, 0, 0
0.000224000000000, 1, 1, 0
0.000231980000000, 1, 0, 0
0.000232980000000, 0, 0, 0
0.000240000000000, 0, 1, 0
0.000247980000000, 0, 0, 0
0.000256000000000, 0, 1, 0
0.000263980000000, 0, 0, 0
0.000272000000000, 0, 1, 0
0.000279980000000, 0, 0, 0
0.000280160000000, 1, 0, 0
0.000280980000000, 0, 0, 0
0.000288000000000, 0, 1, 0
0.000296000000000, 1, 1, 0
